,Filename,similarity
0,10329506.pdf,0.8069786487792929
1,10344379.pdf,0.7792928949090707
2,10395944.pdf,0.7934040160026716
3,10428916.pdf,0.7715344227150005
4,10466583.pdf,0.7895731989170117
5,10527994.pdf,0.7995544830344038
6,10554236.pdf,0.8041161903354304
7,10603337.pdf,0.8116649839671934
8,10641230.pdf,0.8390375232032099
9,10724818.pdf,0.8085224681255903
10,10816645.pdf,0.8029213177052253
11,10818478.pdf,0.8080496412533781
12,10820510.pdf,0.7782490789924295
13,10898339.pdf,0.7819145899690726
14,10909720.pdf,0.7773096043573444
15,10945968.pdf,0.799191987730398
16,11152490.pdf,0.7796629138365959
17,11155153.pdf,0.7865123594935431
18,11188218.pdf,0.7885132607847556
19,11257723.pdf,0.7734624994944471
20,11360471.pdf,0.7694835914992565
21,11409460.pdf,0.8238261989198238
22,11522068.pdf,0.805056827740412
23,11555549.pdf,0.784978995803443
24,12491898.pdf,0.7826734173937369
25,translated_12491898.txt,0.7862237268882464
